cylinders,displacement,horsepower,weight,acceleration,model year,origin,target
8,307.0,130,3504,12.0,70,1,0
8,350.0,165,3693,11.5,70,1,1
8,318.0,150,3436,11.0,70,1,0
8,304.0,150,3433,12.0,70,1,1
8,302.0,140,3449,10.5,70,1,1
8,429.0,198,4341,10.0,70,1,1
8,454.0,220,4354,9.0,70,1,1
8,440.0,215,4312,8.5,70,1,1
8,455.0,225,4425,10.0,70,1,1
8,390.0,190,3850,8.5,70,1,1
8,383.0,170,3563,10.0,70,1,1
8,340.0,160,3609,8.0,70,1,1
8,400.0,150,3761,9.5,70,1,1
8,455.0,225,3086,10.0,70,1,1
4,113.0,95,2372,15.0,70,3,0
6,198.0,95,2833,15.5,70,1,0
6,199.0,97,2774,15.5,70,1,0
6,200.0,85,2587,16.0,70,1,0
4,97.0,88,2130,14.5,70,3,0
4,97.0,46,1835,20.5,70,2,0
4,110.0,87,2672,17.5,70,2,0
4,107.0,90,2430,14.5,70,2,0
4,104.0,95,2375,17.5,70,2,0
4,121.0,113,2234,12.5,70,2,0
6,199.0,90,2648,15.0,70,1,0
8,360.0,215,4615,14.0,70,1,1
8,307.0,200,4376,15.0,70,1,1
8,318.0,210,4382,13.5,70,1,1
8,304.0,193,4732,18.5,70,1,1
4,97.0,88,2130,14.5,71,3,0
4,140.0,90,2264,15.5,71,1,0
4,113.0,95,2228,14.0,71,3,0
6,232.0,100,2634,13.0,71,1,0
6,225.0,105,3439,15.5,71,1,1
6,250.0,100,3329,15.5,71,1,1
6,250.0,88,3302,15.5,71,1,0
6,232.0,100,3288,15.5,71,1,0
8,350.0,165,4209,12.0,71,1,1
8,400.0,175,4464,11.5,71,1,1
8,351.0,153,4154,13.5,71,1,1
8,318.0,150,4096,13.0,71,1,1
8,383.0,180,4955,11.5,71,1,1
8,400.0,170,4746,12.0,71,1,1
8,400.0,175,5140,12.0,71,1,1
6,258.0,110,2962,13.5,71,1,0
4,140.0,72,2408,19.0,71,1,0
6,250.0,100,3282,15.0,71,1,0
6,250.0,88,3139,14.5,71,1,0
4,122.0,86,2220,14.0,71,1,0
4,116.0,90,2123,14.0,71,2,0
4,79.0,70,2074,19.5,71,2,0
4,88.0,76,2065,14.5,71,2,0
4,71.0,65,1773,19.0,71,3,0
4,72.0,69,1613,18.0,71,3,0
4,97.0,60,1834,19.0,71,2,0
4,91.0,70,1955,20.5,71,1,0
4,113.0,95,2278,15.5,72,3,0
4,97.5,80,2126,17.0,72,1,0
4,97.0,54,2254,23.5,72,2,0
4,140.0,90,2408,19.5,72,1,0
4,122.0,86,2226,16.5,72,1,0
8,350.0,165,4274,12.0,72,1,1
8,400.0,175,4385,12.0,72,1,1
8,318.0,150,4135,13.5,72,1,1
8,351.0,153,4129,13.0,72,1,1
8,304.0,150,3672,11.5,72,1,1
8,429.0,208,4633,11.0,72,1,1
8,350.0,155,4502,13.5,72,1,1
8,350.0,160,4456,13.5,72,1,1
8,400.0,190,4422,12.5,72,1,1
3,70.0,97,2330,13.5,72,3,0
8,304.0,150,3892,12.5,72,1,1
