Category: All categories

Month,avengers: (United States)
2004-01,1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,<1
2006-01,1
2006-02,2
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,<1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,4
2008-06,4
2008-07,2
2008-08,1
2008-09,2
2008-10,2
2008-11,2
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,3
2010-06,1
2010-07,2
2010-08,1
2010-09,1
2010-10,2
2010-11,2
2010-12,1
2011-01,2
2011-02,2
2011-03,2
2011-04,2
2011-05,4
2011-06,3
2011-07,9
2011-08,6
2011-09,4
2011-10,9
2011-11,4
2011-12,4
2012-01,4
2012-02,7
2012-03,9
2012-04,23
2012-05,85
2012-06,21
2012-07,16
2012-08,14
2012-09,18
2012-10,15
2012-11,9
2012-12,8
2013-01,7
2013-02,6
2013-03,6
2013-04,6
2013-05,10
2013-06,8
2013-07,9
2013-08,7
2013-09,6
2013-10,6
2013-11,7
2013-12,6
2014-01,5
2014-02,5
2014-03,7
2014-04,9
2014-05,7
2014-06,6
2014-07,9
2014-08,8
2014-09,6
2014-10,12
2014-11,8
2014-12,7
2015-01,9
2015-02,8
2015-03,11
2015-04,23
2015-05,49
2015-06,13
2015-07,11
2015-08,9
2015-09,9
2015-10,9
2015-11,6
2015-12,6
2016-01,7
2016-02,8
2016-03,7
2016-04,7
2016-05,11
2016-06,7
2016-07,6
2016-08,5
2016-09,5
2016-10,4
2016-11,4
2016-12,4
2017-01,5
2017-02,4
2017-03,4
2017-04,4
2017-05,4
2017-06,4
2017-07,8
2017-08,6
2017-09,4
2017-10,4
2017-11,9
2017-12,8
2018-01,5
2018-02,8
2018-03,15
2018-04,50
2018-05,52
2018-06,17
2018-07,14
2018-08,19
2018-09,10
2018-10,9
2018-11,11
2018-12,24
2019-01,14
2019-02,13
2019-03,25
2019-04,100
2019-05,58
2019-06,23
2019-07,18
2019-08,16
2019-09,9
2019-10,7
2019-11,9
2019-12,8
2020-01,7
2020-02,6
2020-03,7
2020-04,9
2020-05,8
2020-06,7
2020-07,7
2020-08,13
2020-09,16
2020-10,7
2020-11,7
2020-12,7
2021-01,8
2021-02,10
2021-03,9
