Category: All categories

Month,data science: (United States)
2004-01,17
2004-02,5
2004-03,11
2004-04,10
2004-05,8
2004-06,8
2004-07,8
2004-08,7
2004-09,14
2004-10,10
2004-11,10
2004-12,10
2005-01,12
2005-02,14
2005-03,14
2005-04,8
2005-05,6
2005-06,7
2005-07,6
2005-08,9
2005-09,7
2005-10,7
2005-11,6
2005-12,8
2006-01,7
2006-02,6
2006-03,6
2006-04,11
2006-05,5
2006-06,4
2006-07,6
2006-08,8
2006-09,11
2006-10,6
2006-11,5
2006-12,6
2007-01,7
2007-02,10
2007-03,5
2007-04,3
2007-05,6
2007-06,8
2007-07,2
2007-08,6
2007-09,9
2007-10,6
2007-11,6
2007-12,6
2008-01,6
2008-02,8
2008-03,5
2008-04,7
2008-05,8
2008-06,6
2008-07,6
2008-08,4
2008-09,7
2008-10,7
2008-11,7
2008-12,6
2009-01,9
2009-02,6
2009-03,10
2009-04,7
2009-05,5
2009-06,6
2009-07,4
2009-08,5
2009-09,11
2009-10,8
2009-11,8
2009-12,6
2010-01,10
2010-02,7
2010-03,7
2010-04,8
2010-05,4
2010-06,4
2010-07,4
2010-08,4
2010-09,8
2010-10,8
2010-11,10
2010-12,5
2011-01,9
2011-02,9
2011-03,6
2011-04,5
2011-05,6
2011-06,5
2011-07,5
2011-08,8
2011-09,13
2011-10,9
2011-11,9
2011-12,7
2012-01,10
2012-02,10
2012-03,8
2012-04,10
2012-05,9
2012-06,8
2012-07,5
2012-08,11
2012-09,12
2012-10,11
2012-11,12
2012-12,10
2013-01,13
2013-02,14
2013-03,10
2013-04,12
2013-05,12
2013-06,10
2013-07,9
2013-08,15
2013-09,21
2013-10,16
2013-11,16
2013-12,15
2014-01,22
2014-02,20
2014-03,20
2014-04,20
2014-05,19
2014-06,19
2014-07,16
2014-08,26
2014-09,34
2014-10,28
2014-11,25
2014-12,24
2015-01,29
2015-02,29
2015-03,30
2015-04,31
2015-05,30
2015-06,28
2015-07,28
2015-08,40
2015-09,48
2015-10,39
2015-11,33
2015-12,35
2016-01,38
2016-02,41
2016-03,37
2016-04,42
2016-05,33
2016-06,35
2016-07,32
2016-08,41
2016-09,52
2016-10,45
2016-11,44
2016-12,43
2017-01,58
2017-02,53
2017-03,56
2017-04,57
2017-05,51
2017-06,47
2017-07,44
2017-08,59
2017-09,71
2017-10,65
2017-11,61
2017-12,57
2018-01,64
2018-02,63
2018-03,62
2018-04,66
2018-05,62
2018-06,55
2018-07,58
2018-08,74
2018-09,80
2018-10,76
2018-11,70
2018-12,64
2019-01,86
2019-02,77
2019-03,76
2019-04,82
2019-05,70
2019-06,71
2019-07,70
2019-08,85
2019-09,88
2019-10,90
2019-11,82
2019-12,66
2020-01,86
2020-02,91
2020-03,72
2020-04,78
2020-05,77
2020-06,70
2020-07,73
2020-08,81
2020-09,100
2020-10,76
2020-11,59
2020-12,58
2021-01,66
2021-02,62
2021-03,71
