Category: All categories

Month,Football: (United Kingdom)
2004-01,55
2004-02,55
2004-03,59
2004-04,57
2004-05,60
2004-06,78
2004-07,54
2004-08,54
2004-09,58
2004-10,59
2004-11,60
2004-12,56
2005-01,55
2005-02,57
2005-03,58
2005-04,55
2005-05,54
2005-06,51
2005-07,46
2005-08,56
2005-09,59
2005-10,59
2005-11,59
2005-12,58
2006-01,56
2006-02,59
2006-03,59
2006-04,58
2006-05,66
2006-06,97
2006-07,57
2006-08,56
2006-09,57
2006-10,55
2006-11,58
2006-12,55
2007-01,56
2007-02,51
2007-03,53
2007-04,54
2007-05,56
2007-06,48
2007-07,48
2007-08,62
2007-09,62
2007-10,57
2007-11,60
2007-12,58
2008-01,59
2008-02,53
2008-03,60
2008-04,59
2008-05,56
2008-06,56
2008-07,47
2008-08,60
2008-09,62
2008-10,58
2008-11,59
2008-12,56
2009-01,58
2009-02,55
2009-03,54
2009-04,61
2009-05,56
2009-06,50
2009-07,48
2009-08,70
2009-09,63
2009-10,60
2009-11,58
2009-12,59
2010-01,63
2010-02,65
2010-03,64
2010-04,64
2010-05,63
2010-06,100
2010-07,61
2010-08,71
2010-09,64
2010-10,63
2010-11,62
2010-12,55
2011-01,81
2011-02,77
2011-03,65
2011-04,72
2011-05,74
2011-06,50
2011-07,51
2011-08,79
2011-09,71
2011-10,63
2011-11,59
2011-12,66
2012-01,71
2012-02,65
2012-03,69
2012-04,75
2012-05,68
2012-06,75
2012-07,60
2012-08,72
2012-09,67
2012-10,66
2012-11,69
2012-12,72
2013-01,78
2013-02,72
2013-03,68
2013-04,71
2013-05,66
2013-06,49
2013-07,49
2013-08,84
2013-09,77
2013-10,64
2013-11,63
2013-12,72
2014-01,78
2014-02,75
2014-03,76
2014-04,80
2014-05,67
2014-06,89
2014-07,60
2014-08,77
2014-09,69
2014-10,64
2014-11,67
2014-12,68
2015-01,71
2015-02,71
2015-03,69
2015-04,65
2015-05,59
2015-06,47
2015-07,47
2015-08,72
2015-09,66
2015-10,68
2015-11,61
2015-12,69
2016-01,71
2016-02,72
2016-03,70
2016-04,75
2016-05,70
2016-06,83
2016-07,52
2016-08,68
2016-09,68
2016-10,64
2016-11,60
2016-12,65
2017-01,68
2017-02,65
2017-03,59
2017-04,73
2017-05,59
2017-06,40
2017-07,44
2017-08,73
2017-09,71
2017-10,64
2017-11,64
2017-12,75
2018-01,75
2018-02,69
2018-03,67
2018-04,73
2018-05,64
2018-06,93
2018-07,84
2018-08,74
2018-09,73
2018-10,68
2018-11,66
2018-12,81
2019-01,83
2019-02,83
2019-03,81
2019-04,88
2019-05,70
2019-06,56
2019-07,48
2019-08,83
2019-09,75
2019-10,74
2019-11,75
2019-12,89
2020-01,84
2020-02,79
2020-03,47
2020-04,24
2020-05,26
2020-06,53
2020-07,76
2020-08,52
2020-09,77
2020-10,84
2020-11,76
2020-12,85
2021-01,88
2021-02,90
2021-03,71
