Category: All categories

Month,Football: (United States)
2004-01,34
2004-02,33
2004-03,34
2004-04,36
2004-05,38
2004-06,43
2004-07,36
2004-08,52
2004-09,58
2004-10,53
2004-11,48
2004-12,35
2005-01,33
2005-02,33
2005-03,32
2005-04,36
2005-05,35
2005-06,35
2005-07,32
2005-08,47
2005-09,64
2005-10,56
2005-11,50
2005-12,36
2006-01,34
2006-02,33
2006-03,34
2006-04,37
2006-05,45
2006-06,90
2006-07,51
2006-08,48
2006-09,64
2006-10,57
2006-11,49
2006-12,34
2007-01,34
2007-02,33
2007-03,34
2007-04,34
2007-05,36
2007-06,39
2007-07,37
2007-08,50
2007-09,71
2007-10,58
2007-11,51
2007-12,37
2008-01,33
2008-02,34
2008-03,34
2008-04,37
2008-05,40
2008-06,46
2008-07,35
2008-08,55
2008-09,64
2008-10,55
2008-11,52
2008-12,37
2009-01,34
2009-02,36
2009-03,37
2009-04,39
2009-05,41
2009-06,43
2009-07,39
2009-08,51
2009-09,67
2009-10,63
2009-11,60
2009-12,41
2010-01,38
2010-02,36
2010-03,39
2010-04,42
2010-05,49
2010-06,88
2010-07,55
2010-08,53
2010-09,67
2010-10,60
2010-11,59
2010-12,43
2011-01,35
2011-02,33
2011-03,32
2011-04,35
2011-05,35
2011-06,39
2011-07,47
2011-08,49
2011-09,68
2011-10,60
2011-11,55
2011-12,37
2012-01,36
2012-02,34
2012-03,34
2012-04,36
2012-05,40
2012-06,44
2012-07,38
2012-08,61
2012-09,70
2012-10,58
2012-11,54
2012-12,38
2013-01,36
2013-02,35
2013-03,37
2013-04,36
2013-05,39
2013-06,39
2013-07,38
2013-08,51
2013-09,69
2013-10,58
2013-11,57
2013-12,39
2014-01,36
2014-02,34
2014-03,35
2014-04,39
2014-05,43
2014-06,100
2014-07,64
2014-08,56
2014-09,69
2014-10,64
2014-11,60
2014-12,43
2015-01,44
2015-02,38
2015-03,39
2015-04,39
2015-05,41
2015-06,46
2015-07,46
2015-08,51
2015-09,73
2015-10,66
2015-11,61
2015-12,43
2016-01,39
2016-02,36
2016-03,35
2016-04,38
2016-05,39
2016-06,53
2016-07,35
2016-08,63
2016-09,73
2016-10,64
2016-11,58
2016-12,39
2017-01,34
2017-02,34
2017-03,32
2017-04,33
2017-05,33
2017-06,35
2017-07,34
2017-08,47
2017-09,66
2017-10,65
2017-11,56
2017-12,36
2018-01,35
2018-02,31
2018-03,31
2018-04,31
2018-05,32
2018-06,60
2018-07,54
2018-08,50
2018-09,73
2018-10,63
2018-11,57
2018-12,38
2019-01,34
2019-02,29
2019-03,31
2019-04,30
2019-05,31
2019-06,53
2019-07,51
2019-08,48
2019-09,68
2019-10,59
2019-11,59
2019-12,37
2020-01,33
2020-02,29
2020-03,20
2020-04,15
2020-05,15
2020-06,17
2020-07,21
2020-08,26
2020-09,39
2020-10,39
2020-11,35
2020-12,29
2021-01,28
2021-02,25
2021-03,25
