Category: All categories

Month,taxes: (United States)
2004-01,40
2004-02,51
2004-03,42
2004-04,48
2004-05,22
2004-06,21
2004-07,20
2004-08,23
2004-09,20
2004-10,24
2004-11,20
2004-12,21
2005-01,41
2005-02,57
2005-03,46
2005-04,58
2005-05,21
2005-06,23
2005-07,21
2005-08,22
2005-09,19
2005-10,22
2005-11,20
2005-12,21
2006-01,42
2006-02,54
2006-03,45
2006-04,63
2006-05,23
2006-06,22
2006-07,21
2006-08,23
2006-09,22
2006-10,23
2006-11,21
2006-12,21
2007-01,47
2007-02,56
2007-03,46
2007-04,64
2007-05,24
2007-06,22
2007-07,22
2007-08,22
2007-09,21
2007-10,23
2007-11,21
2007-12,24
2008-01,46
2008-02,56
2008-03,47
2008-04,59
2008-05,25
2008-06,21
2008-07,20
2008-08,20
2008-09,24
2008-10,29
2008-11,22
2008-12,23
2009-01,45
2009-02,58
2009-03,48
2009-04,54
2009-05,22
2009-06,21
2009-07,22
2009-08,20
2009-09,22
2009-10,23
2009-11,23
2009-12,24
2010-01,49
2010-02,54
2010-03,46
2010-04,55
2010-05,22
2010-06,21
2010-07,19
2010-08,20
2010-09,21
2010-10,21
2010-11,20
2010-12,24
2011-01,53
2011-02,60
2011-03,46
2011-04,64
2011-05,23
2011-06,22
2011-07,24
2011-08,24
2011-09,24
2011-10,24
2011-11,21
2011-12,25
2012-01,57
2012-02,59
2012-03,43
2012-04,59
2012-05,21
2012-06,21
2012-07,22
2012-08,25
2012-09,25
2012-10,26
2012-11,26
2012-12,26
2013-01,63
2013-02,63
2013-03,47
2013-04,55
2013-05,23
2013-06,20
2013-07,20
2013-08,20
2013-09,20
2013-10,23
2013-11,22
2013-12,24
2014-01,55
2014-02,66
2014-03,48
2014-04,54
2014-05,22
2014-06,21
2014-07,21
2014-08,20
2014-09,21
2014-10,23
2014-11,21
2014-12,24
2015-01,57
2015-02,66
2015-03,49
2015-04,57
2015-05,23
2015-06,23
2015-07,23
2015-08,23
2015-09,24
2015-10,25
2015-11,23
2015-12,28
2016-01,64
2016-02,73
2016-03,53
2016-04,66
2016-05,26
2016-06,23
2016-07,23
2016-08,25
2016-09,26
2016-10,30
2016-11,27
2016-12,27
2017-01,63
2017-02,75
2017-03,61
2017-04,73
2017-05,27
2017-06,26
2017-07,25
2017-08,25
2017-09,27
2017-10,29
2017-11,29
2017-12,42
2018-01,70
2018-02,83
2018-03,61
2018-04,74
2018-05,29
2018-06,27
2018-07,27
2018-08,28
2018-09,28
2018-10,33
2018-11,28
2018-12,32
2019-01,69
2019-02,92
2019-03,62
2019-04,73
2019-05,30
2019-06,29
2019-07,27
2019-08,28
2019-09,29
2019-10,31
2019-11,30
2019-12,34
2020-01,73
2020-02,90
2020-03,69
2020-04,79
2020-05,43
2020-06,42
2020-07,54
2020-08,36
2020-09,42
2020-10,39
2020-11,32
2020-12,38
2021-01,83
2021-02,100
2021-03,99
