Category: All categories

Month,trump: (United States)
2004-01,2
2004-02,1
2004-03,2
2004-04,3
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,2
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,2
2007-01,2
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,2
2011-04,4
2011-05,3
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,3
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,5
2015-07,10
2015-08,14
2015-09,11
2015-10,8
2015-11,8
2015-12,13
2016-01,14
2016-02,23
2016-03,40
2016-04,20
2016-05,22
2016-06,22
2016-07,39
2016-08,31
2016-09,30
2016-10,62
2016-11,100
2016-12,29
2017-01,75
2017-02,55
2017-03,35
2017-04,25
2017-05,32
2017-06,28
2017-07,27
2017-08,30
2017-09,23
2017-10,26
2017-11,22
2017-12,23
2018-01,28
2018-02,22
2018-03,23
2018-04,22
2018-05,19
2018-06,25
2018-07,25
2018-08,25
2018-09,22
2018-10,22
2018-11,22
2018-12,24
2019-01,29
2019-02,21
2019-03,17
2019-04,16
2019-05,15
2019-06,18
2019-07,20
2019-08,20
2019-09,21
2019-10,25
2019-11,22
2019-12,31
2020-01,24
2020-02,26
2020-03,38
2020-04,29
2020-05,24
2020-06,45
2020-07,35
2020-08,40
2020-09,36
2020-10,68
2020-11,84
2020-12,31
2021-01,59
2021-02,18
2021-03,12
